day,score
2017-10-21,-13344.0
2017-10-22,0.0
2017-10-23,-2634.0
2017-10-24,-7066.0
2017-10-25,2367.0
2017-10-26,2957.0
2017-10-27,-9616.0
2017-10-29,0.0
2017-10-30,1588.0
2017-10-31,7690.0
2017-11-01,-7926.0
2017-11-02,5379.0
2017-11-03,-13781.0
2017-11-04,1175.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,-7720.0
2017-11-08,-3307.0
2017-11-09,0.0
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,-27014.0
2017-11-14,-14141.0
2017-11-15,-15460.0
2017-11-16,-5618.0
2017-11-17,-8588.0
2017-11-18,0.0
2017-11-20,-7644.0
2017-11-21,-17178.0
2017-11-22,3032.0
2017-11-23,-6314.0
2017-11-24,-5912.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,-4528.0
2017-11-28,6343.0
2017-11-29,-3793.0
2017-11-30,0.0
2017-12-04,0.0
2017-12-05,-12894.0
2017-12-06,-7640.0
2017-12-07,-5340.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,-17602.0
2017-12-15,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,-4054.0
2017-12-21,-20428.0
2017-12-22,4130.0
2017-12-23,0.0
2017-12-25,0.0
2017-12-26,8013.0
2017-12-27,4583.0
2017-12-28,-11424.0
2017-12-29,0.0
2018-01-02,4782.0
2018-01-03,-8470.0
2018-01-04,0.0
2018-01-05,-3139.0
2018-01-06,0.0
2018-01-08,-21841.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,-47458.0
2018-01-15,-34458.0
2018-01-16,7219.0
2018-01-17,-42803.0
2018-01-18,-7758.0
2018-01-19,-421.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,-4126.0
2018-01-25,-12132.0
2018-01-26,-20260.0
2018-01-29,-8996.0
2018-01-30,0.0
2018-01-31,-3824.0
2018-02-01,0.0
2018-02-02,5092.0
2018-02-03,0.0
2018-02-05,0.0
2018-02-06,3838.0
2018-02-07,-2865.0
2018-02-08,3436.0
2018-02-09,2738.0
2018-02-10,0.0
2018-02-12,-4483.0
2018-02-13,-19573.0
2018-02-14,-7033.0
2018-02-15,6720.0
2018-02-22,0.0
2018-02-23,4599.0
2018-02-24,5215.0
2018-02-25,6107.0
2018-02-26,147.0
2018-02-27,0.0
2018-02-28,3936.0
2018-03-01,4139.0
2018-03-02,-2332.0
2018-03-03,3384.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,2416.0
2018-03-07,0.0
2018-03-08,3382.0
2018-03-09,3540.0
2018-03-10,4501.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,2541.0
2018-03-14,0.0
2018-03-15,7299.0
2018-03-16,0.0
2018-03-17,3631.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,-1138.0
2018-03-23,967.0
2018-03-24,3178.0
2018-03-26,-6586.0
2018-03-27,-38067.0
2018-03-28,0.0
2018-03-29,-1960.0
2018-03-30,-29660.0
2018-03-31,0.0
2018-04-01,-6386.0
